Census Year,LSOA Code,Road Length,Population,IMD Decile
2014,E01000001,2855.4747,1513,9
2014,E01000002,4287.94264,1522,10
2014,E01000003,1073.70528,1371,5
2014,E01000005,4528.47931,1356,3
2014,E01000006,2706.90319,1849,5
2014,E01000007,4321.99828,1588,3
2014,E01000008,2619.83847,1617,2
2014,E01000009,2805.97979,1795,3
2014,E01000010,6171.92235,3309,3
2014,E01000011,1475.06808,1643,3
2014,E01000012,2035.91238,1956,2
2014,E01000013,2959.98799,1796,2
2014,E01000014,3362.66979,1703,2
2014,E01000015,3065.69288,2411,2
2014,E01000016,2813.58688,1727,3
2014,E01000017,2470.73519,1679,2
2014,E01000018,2432.53655,1786,2
2014,E01000019,3086.98059,1507,2
2014,E01000020,3323.71021,1937,2
2014,E01000021,3478.62491,1621,2
2014,E01000022,2608.13968,1345,2
2014,E01000023,4615.90816,2126,2
2014,E01000024,2418.78953,1392,3
2014,E01000025,2289.46491,1680,2
2014,E01000027,9285.21525,1806,2
2014,E01000028,2505.72996,1637,2
2014,E01000029,4546.89544,1651,4
2014,E01000030,5475.30582,2141,2
2014,E01000031,7740.48297,1690,4
2014,E01000032,4401.37588,1681,3
2014,E01000033,2522.66689,1492,2
2014,E01000034,4537.30678,1532,2
2014,E01000035,5171.77089,1770,4
2014,E01000036,5506.46101,1436,5
2014,E01000037,3978.5625,1757,5
2014,E01000038,3933.37899,1506,5
2014,E01000039,5529.81611,1624,4
2014,E01000040,2915.45104,1606,2
2014,E01000041,2248.05234,1724,3
2014,E01000042,4466.67605,1942,2
2014,E01000043,4411.79937,1430,3
2014,E01000044,3102.03927,1928,3
2014,E01000045,5910.56515,1654,2
2014,E01000046,2124.14568,1830,3
2014,E01000048,769.929004,1773,1
2014,E01000049,3039.49086,1895,2
2014,E01000050,2797.983,1842,2
2014,E01000051,1064.50697,1245,2
2014,E01000052,4359.86291,2154,2
2014,E01000053,3500.54847,1599,2
2014,E01000054,2338.07083,1806,3
2014,E01000055,1814.50154,1690,3
2014,E01000056,2909.35874,1631,2
2014,E01000057,2617.12658,1516,3
2014,E01000058,2627.37773,2005,3
2014,E01000059,2607.39588,1579,3
2014,E01000060,6763.81849,1920,2
2014,E01000061,4234.70983,1838,1
2014,E01000062,5427.9971,2043,3
2014,E01000063,2572.97453,1679,2
2014,E01000064,4631.09778,2105,2
2014,E01000065,4411.82918,1797,2
2014,E01000066,4912.35429,2103,4
2014,E01000067,5329.23611,2149,5
2014,E01000068,3001.68778,1679,4
2014,E01000069,3117.04136,1843,6
2014,E01000070,4431.6645,2101,5
2014,E01000071,4663.66582,2465,5
2014,E01000072,4070.97628,2079,2
2014,E01000073,3120.02397,1747,2
2014,E01000074,2536.0311,1622,2
2014,E01000075,4595.14109,1756,2
2014,E01000076,2515.80333,2044,2
2014,E01000077,2523.21392,1525,2
2014,E01000078,3196.06148,1776,2
2014,E01000079,3163.52914,1579,2
2014,E01000080,2522.3371,1593,3
2014,E01000081,2582.49313,1710,3
2014,E01000082,2359.83703,1778,3
2014,E01000083,3388.26643,1760,2
2014,E01000084,2252.61352,1377,2
2014,E01000085,2923.64529,1762,2
2014,E01000086,2188.22537,1442,2
2014,E01000087,4594.87135,1425,2
2014,E01000088,2810.41633,2060,3
2014,E01000089,2121.84576,1840,3
2014,E01000090,16991.739,1704,3
2014,E01000091,3234.28201,2001,2
2014,E01000092,25655.97,3984,2
2014,E01000093,4190.77537,1703,1
2014,E01000094,7533.30816,1639,3
2014,E01000095,24313.3002,1848,3
2014,E01000096,7271.33846,1301,2
2014,E01000097,3685.79177,1789,2
2014,E01000098,3615.70777,1891,2
2014,E01000099,4793.26351,2241,3
2014,E01000100,2648.61257,1675,3
2014,E01000101,3174.52996,1663,2
2014,E01000102,3517.17541,1694,2
2014,E01000103,4853.38297,1526,3
2014,E01000104,4095.67863,1760,2
2014,E01000105,3067.83534,2321,1
2014,E01000106,4127.94696,2101,2
2014,E01000107,3715.29009,1711,3
2014,E01000108,3543.87612,1655,3
2014,E01000109,5432.99556,1796,4
2014,E01000110,3201.07773,1457,5
2014,E01000111,5433.94677,1993,3
2014,E01000112,4054.84463,2095,4
2014,E01000113,3706.35167,1816,4
2014,E01000114,4410.12352,2243,4
2014,E01000115,4063.98321,1457,9
2014,E01000116,6361.03555,1887,9
2014,E01000117,5832.6269,1883,8
2014,E01000118,6285.44142,2062,8
2014,E01000119,4117.48804,1716,7
2014,E01000120,4107.98664,1519,10
2014,E01000121,4901.6252,1473,2
2014,E01000122,4469.4493,1464,8
2014,E01000123,7362.88409,1752,8
2014,E01000124,3442.89598,1689,4
2014,E01000125,4904.16383,3086,3
2014,E01000126,2875.80856,2236,2
2014,E01000127,2237.09161,1554,3
2014,E01000128,3238.09489,1952,3
2014,E01000129,4111.87945,1906,3
2014,E01000130,2723.91605,1748,3
2014,E01000131,3277.55843,1864,5
2014,E01000132,2619.44691,1555,4
2014,E01000133,2528.74089,1624,3
2014,E01000134,3228.8572,1696,4
2014,E01000135,3737.90526,1699,7
2014,E01000136,5762.26434,1576,8
2014,E01000137,1824.14346,1755,3
2014,E01000138,4236.2626,1542,3
2014,E01000139,4602.3257,1495,7
2014,E01000140,3205.9329,1683,6
2014,E01000141,4942.74771,2152,3
2014,E01000142,4155.24957,2449,6
2014,E01000143,2294.79633,1535,3
2014,E01000144,4012.81928,1694,5
2014,E01000145,2922.73071,1625,6
2014,E01000146,4303.44779,1761,5
2014,E01000147,3422.97248,1838,7
2014,E01000148,4310.37126,2194,3
2014,E01000150,6055.09673,2168,6
2014,E01000151,2205.30204,1779,2
2014,E01000152,3298.96161,1709,3
2014,E01000153,2526.0126,1965,2
2014,E01000154,2373.73861,1171,3
2014,E01000155,4730.77497,2977,5
2014,E01000156,3114.01741,2053,9
2014,E01000157,2541.9154,1606,7
2014,E01000158,3037.51152,1528,5
2014,E01000159,4959.91496,1809,6
2014,E01000160,4719.92163,2226,7
2014,E01000161,5013.83998,2034,6
2014,E01000162,3977.17967,1620,5
2014,E01000163,3909.67549,1689,3
2014,E01000164,7944.22464,1795,4
2014,E01000165,4109.25506,1882,7
2014,E01000166,4456.72741,1638,6
2014,E01000167,5940.18643,1338,3
2014,E01000168,4214.33576,1623,9
2014,E01000169,3511.00419,1608,7
2014,E01000170,4275.37792,1704,5
2014,E01000171,5357.61257,2006,4
2014,E01000172,4692.23612,1717,9
2014,E01000173,6166.66016,1755,8
2014,E01000174,3641.50906,1783,6
2014,E01000175,5951.59185,1660,9
2014,E01000176,4731.63411,1667,3
2014,E01000177,3090.9971,1731,9
2014,E01000178,5219.26216,1846,9
2014,E01000179,2321.08142,1723,9
2014,E01000180,3502.00073,1684,6
2014,E01000181,2651.12901,1773,9
2014,E01000182,3396.08991,1869,9
2014,E01000183,4285.77854,1464,8
2014,E01000184,14577.0317,1617,3
2014,E01000185,2540.56452,1505,4
2014,E01000186,4435.79959,1676,10
2014,E01000187,3376.54181,1712,7
2014,E01000188,22160.8852,1603,9
2014,E01000189,3683.56995,1440,4
2014,E01000190,3844.02104,1624,8
2014,E01000191,4762.89865,1508,9
2014,E01000192,5026.70197,2009,6
2014,E01000193,4571.12651,1942,6
2014,E01000194,5020.75579,1795,5
2014,E01000195,6086.89703,1997,3
2014,E01000196,4907.19764,1951,7
2014,E01000197,3659.96793,1960,7
2014,E01000198,6264.76294,2057,7
2014,E01000199,4661.81464,1649,9
2014,E01000200,4885.41724,1925,8
2014,E01000201,6021.17703,1522,9
2014,E01000202,3925.45555,1783,9
2014,E01000203,6067.22812,1797,6
2014,E01000204,3666.15247,1659,8
2014,E01000205,4788.40921,1587,9
2014,E01000206,12776.0009,1552,8
2014,E01000207,5775.65179,1557,9
2014,E01000208,7135.79479,1560,9
2014,E01000209,4871.37442,1508,9
2014,E01000210,9147.35145,1547,9
2014,E01000211,6376.33389,2231,6
2014,E01000212,4968.59262,1439,8
2014,E01000213,4283.28312,1361,9
2014,E01000214,3506.35143,1722,8
2014,E01000215,3728.17292,2198,7
2014,E01000216,3294.22423,2069,8
2014,E01000217,3368.09625,1829,8
2014,E01000218,3225.4061,1934,6
2014,E01000219,3868.05887,1956,5
2014,E01000220,2520.32074,2035,6
2014,E01000221,9539.40073,1350,1
2014,E01000222,4445.12879,1721,3
2014,E01000223,8330.45226,1368,2
2014,E01000224,2942.47924,1682,5
2014,E01000225,4663.10719,1892,8
2014,E01000226,3456.63551,1796,3
2014,E01000227,3778.13903,1929,8
2014,E01000228,14621.6787,1558,7
2014,E01000229,3749.15636,1757,4
2014,E01000230,4478.63515,1872,9
2014,E01000231,7353.05444,1942,6
2014,E01000232,5695.27258,1942,6
2014,E01000233,4205.23327,1837,8
2014,E01000234,3936.83639,1788,8
2014,E01000235,4647.01325,1794,4
2014,E01000236,4153.47546,1910,8
2014,E01000237,4661.95566,2179,8
2014,E01000238,4228.81984,2026,6
2014,E01000239,9142.26896,2099,4
2014,E01000240,6992.94042,1781,5
2014,E01000241,4169.88667,1810,8
2014,E01000242,5322.81611,1694,5
2014,E01000243,3980.46401,1928,7
2014,E01000244,3312.99713,1855,6
2014,E01000245,3340.19474,2148,4
2014,E01000246,6496.79417,1538,8
2014,E01000247,3818.91433,1728,8
2014,E01000248,4979.93233,1717,9
2014,E01000249,5632.89841,1540,10
2014,E01000250,7054.7043,2649,7
2014,E01000251,5557.52997,2033,5
2014,E01000252,4124.32976,1689,7
2014,E01000253,16372.2081,1696,8
2014,E01000254,9034.72496,1596,9
2014,E01000255,8838.49408,1451,5
2014,E01000256,6294.27898,1862,8
2014,E01000257,6673.13506,1861,4
2014,E01000258,9202.45105,1755,8
2014,E01000259,10144.2847,2752,7
2014,E01000260,11621.032,2046,5
2014,E01000261,10569.3846,1608,9
2014,E01000262,18633.8103,2389,7
2014,E01000263,5272.19258,1571,10
2014,E01000264,8481.9133,1753,6
2014,E01000265,3656.1663,2004,6
2014,E01000266,4576.67401,1526,9
2014,E01000267,4324.40007,1538,7
2014,E01000268,4703.66013,1978,6
2014,E01000269,5309.47036,1498,8
2014,E01000270,4541.28796,1530,7
2014,E01000271,5264.185,1578,9
2014,E01000272,4595.48865,1288,10
2014,E01000273,4819.38188,1527,7
2014,E01000274,3930.86663,1938,6
2014,E01000275,3833.16391,1733,7
2014,E01000276,3713.97731,1514,10
2014,E01000277,4072.2074,1799,5
2014,E01000278,3494.68699,1565,10
2014,E01000279,14375.6389,1470,8
2014,E01000280,5073.26816,1377,10
2014,E01000281,5042.89232,1377,8
2014,E01000282,5133.41372,1716,9
2014,E01000283,3882.57338,1412,10
2014,E01000284,4661.93694,1725,6
2014,E01000285,3612.6332,1421,6
2014,E01000286,3778.09553,1657,4
2014,E01000287,4411.23857,1652,4
2014,E01000288,4049.57101,1631,7
2014,E01000289,3511.86537,1906,2
2014,E01000290,9645.075,1646,5
2014,E01000291,3193.11253,1647,3
2014,E01000292,4114.0433,1525,7
2014,E01000293,4234.0817,1786,9
2014,E01000294,4400.07215,1681,7
2014,E01000295,3782.01078,1742,7
2014,E01000296,4545.19438,1739,7
2014,E01000297,3430.04409,1491,8
2014,E01000298,4052.14792,1865,7
2014,E01000299,3279.29464,1968,6
2014,E01000300,2855.17998,1642,7
2014,E01000301,4411.31421,1516,9
2014,E01000302,3659.52637,2052,6
2014,E01000303,3504.62759,1623,9
2014,E01000304,3054.40963,1626,7
2014,E01000305,7006.12464,1808,3
2014,E01000306,2974.77969,1685,7
2014,E01000307,13629.0189,1680,4
2014,E01000308,2912.7657,1772,3
2014,E01000309,5679.02932,1903,7
2014,E01000310,6599.92686,2085,5
2014,E01000311,4602.5466,1697,8
2014,E01000312,2312.92337,1873,4
2014,E01000313,4327.46645,2099,5
2014,E01000314,4699.59649,1935,8
2014,E01000315,6177.62455,1800,3
2014,E01000316,6655.69985,2497,5
2014,E01000317,3371.35537,1640,8
2014,E01000318,3829.4528,1867,6
2014,E01000319,2325.24985,1567,8
2014,E01000320,4944.65104,1584,8
2014,E01000321,3309.75364,1757,6
2014,E01000322,4131.60841,1802,6
2014,E01000323,4174.88028,2269,5
2014,E01000324,4396.0448,1873,7
2014,E01000325,4508.4537,1613,10
2014,E01000326,4834.18155,1324,7
2014,E01000327,5056.72013,1554,9
2014,E01000328,5978.00422,1521,7
2014,E01000329,4028.09542,1340,6
2014,E01000330,4708.82838,1554,5
2014,E01000331,6463.90605,1620,3
2014,E01000332,4923.37094,1579,6
2014,E01000333,5376.41958,1787,4
2014,E01000334,3773.42972,1685,7
2014,E01000335,14639.4622,2070,3
